article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
233490663,"WARNING OF CYCLONE. WORD FROM WRAGGE. Perth, Wednesday.",1279,"The Murchison Times and Day Dawn Gazette (Cue, WA : 1894 - 1925)",3,1912-04-11,Article,65,N,0,http://nla.gov.au/nla.news-article233490663,http://trove.nla.gov.au/newspaper/page/25225411
79894176,CLEMENT WRAGGE. SAYS NOR'- WEST CYCLONE. SHOULD HAVE BEEN PREDICTED.,275,"The Daily News (Perth, WA : 1882 - 1950)",8 S,1912-04-09,Article,99,N,0,http://nla.gov.au/nla.news-article79894176,http://trove.nla.gov.au/newspaper/page/7805188
89786771,MR. WRAGGE'S PREDICTION. RENEWAL OF CYCLONE FORETOLD.,319,"Leader (Melbourne, Vic. : 1862 - 1918)",26 S,1918-03-16,Article,241,N,0,http://nla.gov.au/nla.news-article89786771,http://trove.nla.gov.au/newspaper/page/8542896
105226040,"THE W.A. CYCLONE CLEMENT WRAGGE'S OPINION. COULD HAVE GIVEN THREE DAYS' WARNING. PERTH, April 9.",395,"Daily Herald (Adelaide, SA : 1910 - 1924)",5,1912-04-10,Article,109,N,0,http://nla.gov.au/nla.news-article105226040,http://trove.nla.gov.au/newspaper/page/10487815
132764385,QUEENSLAND CYCLONE. DESTROYS A TOWNSHIP. MR. WRAGGE'S PREDICTION.,618,Warracknabeal Herald (Vic. : 1914 - 1918),2,1918-03-15,Article,142,N,0,http://nla.gov.au/nla.news-article132764385,http://trove.nla.gov.au/newspaper/page/15412686
155108785,MR. WRAGGE'S PREDICTION. Renewal of Cyclone Foretold.,809,"The Age (Melbourne, Vic. : 1854 - 1954)",9,1918-03-13,Article,242,N,0,http://nla.gov.au/nla.news-article155108785,http://trove.nla.gov.au/newspaper/page/18604180
226799674,MR. WRAGGE'S PREDICTION. RENEWAL OF CYCLONE FORETOLD.,806,The Bendigo Independent (Vic. : 1891 - 1918),5,1918-03-14,Article,248,N,0,http://nla.gov.au/nla.news-article226799674,http://trove.nla.gov.au/newspaper/page/24144902
50645360,WEATHER BUREAU AND LATE CYCLONE. (To the Editor.),68,"Examiner (Launceston, Tas. : 1900 - 1954)",3 S,1912-04-02,Article,66,N,0,http://nla.gov.au/nla.news-article50645360,http://trove.nla.gov.au/newspaper/page/3026978
109732778,CORRESPONDENCE. THE WESTERN AUSTRALIAN CYCLONE. (To the Editor).,445,"The Border Morning Mail and Riverina Times (Albury, NSW : 1903 - 1920)",4,1912-04-01,Article,84,N,0,http://nla.gov.au/nla.news-article109732778,http://trove.nla.gov.au/newspaper/page/11991775
65179201,GREAT SOLAR CYCLONE.,115,The North Western Advocate and the Emu Bay Times (Tas. : 1899 - 1919),2,1910-05-25,Article,112,N,0,http://nla.gov.au/nla.news-article65179201,http://trove.nla.gov.au/newspaper/page/5431280
146916750,THE RECENT CYCLONE.,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",4,1912-04-02,Article,67,N,0,http://nla.gov.au/nla.news-article146916750,http://trove.nla.gov.au/newspaper/page/17729868
84394472,[?]ICARO Cigarettes,336,"Queensland Figaro (Brisbane, Qld. : 1901 - 1936)",6,1912-01-09,Article,1085,N,0,http://nla.gov.au/nla.news-article84394472,http://trove.nla.gov.au/newspaper/page/8736571
45189606,STATEMENT BY MR. WRAGGE.,53,"Barrier Miner (Broken Hill, NSW : 1888 - 1954)",4,1912-04-12,Article,55,N,0,http://nla.gov.au/nla.news-article45189606,http://trove.nla.gov.au/newspaper/page/3379003
59065079,MR. WRACGE AND THE WEATHER.,89,"The Register (Adelaide, SA : 1901 - 1929)",10,1912-04-02,Article,59,N,0,http://nla.gov.au/nla.news-article59065079,http://trove.nla.gov.au/newspaper/page/4505724
71904352,NOTE FROM MR. WRAGGE. To the Editor.,186,"The Capricornian (Rockhampton, Qld. : 1875 - 1929)",28,1912-04-06,Article,71,N,0,http://nla.gov.au/nla.news-article71904352,http://trove.nla.gov.au/newspaper/page/6960364
